time,_step,_runtime,l2_error,_timestamp,step,loss_boundary,loss,loss_interior
6.633363723754883,53,10.38026738166809,0.004223915201271498,1714847336.8388383,130,1.8449952964909847e-05,0.00010193305474761634,8.348310178270649e-05
7.097339868545532,54,10.84406304359436,0.0026737002443932285,1714847337.302634,143,1.0642468908339289e-05,6.293287388184623e-05,5.2290404973506934e-05
7.616573095321655,55,11.363446950912476,0.001918750118330956,1714847337.822018,157,6.074998150231481e-06,4.0827335446105416e-05,3.475233729587394e-05
8.15582823753357,56,11.902691841125488,0.002000230439299642,1714847338.3612628,172,3.7844423558402365e-06,3.2527985457618464e-05,2.8743543101778226e-05
8.805907487869263,57,12.553554773330688,0.0020923294935255364,1714847339.0121257,190,3.4127857600996917e-06,2.5515303800775615e-05,2.2102518040675925e-05
9.450899124145508,58,13.197883129119873,0.0016956282957473145,1714847339.656454,208,2.735306165592818e-06,1.9237657095528125e-05,1.6502350929935307e-05
10.200665712356567,59,13.947570323944092,0.001566457040568005,1714847340.4061413,229,2.115424434740211e-06,1.53276527073218e-05,1.321222827258159e-05
11.041450500488281,60,14.788371086120605,0.0015317179431988343,1714847341.246942,252,1.7832158284001883e-06,1.1977781084078742e-05,1.0194565255678553e-05
11.921962261199951,61,15.669315814971924,0.0014712302385192521,1714847342.1278868,277,1.5955981481024447e-06,9.58568722296381e-06,7.990089074861365e-06
12.916183471679688,62,16.66278076171875,0.001315922012427349,1714847343.1213517,305,1.4754535316847677e-06,8.442924706783648e-06,6.967471175098881e-06
13.976425409317017,63,17.7234525680542,0.001238988467808205,1714847344.1820235,335,1.2793035163415722e-06,7.3387497266142775e-06,6.059446210272705e-06
15.190900087356567,64,18.93742871284485,0.0011742029551925837,1714847345.3959997,369,1.0360272045905047e-06,6.099963724636635e-06,5.0639365200461305e-06
16.499943733215332,65,20.24740219116211,0.0010505627387923182,1714847346.7059731,406,8.926222157881526e-07,5.199846039636925e-06,4.3072238238487725e-06
17.951300144195557,66,21.699126482009888,0.0009080275621523949,1714847348.1576974,446,8.27981208533645e-07,4.3126116191287786e-06,3.484630410595134e-06
19.68657922744751,67,23.43392014503479,0.0009852906559357616,1714847349.892491,491,7.517358911518168e-07,3.3241370654458537e-06,2.572401174294037e-06
21.49499011039734,68,25.242164611816406,0.000853561098891842,1714847351.7007356,540,6.190518665421821e-07,2.672321846822147e-06,2.053269980279965e-06
23.687392950057983,69,27.434983491897583,0.0007802130351733123,1714847353.8935544,594,4.660297755327166e-07,2.0493717792910003e-06,1.5833420037582837e-06
25.85010552406311,70,29.59742832183838,0.0006769000091605882,1714847356.0559993,653,3.5586660523271213e-07,1.5701200882395947e-06,1.2142534830068827e-06
28.44360327720642,71,32.19108557701111,0.0005996812646767052,1714847358.6496565,718,3.0728675358303916e-07,1.2493346953832195e-06,9.420479418001804e-07
31.169649839401245,72,34.91668963432312,0.0005479418947491908,1714847361.3752606,790,2.653781950666513e-07,1.0600750040053856e-06,7.946968089387343e-07
34.06979203224182,73,37.8169481754303,0.00047912460641394157,1714847364.2755191,869,1.9365171664210137e-07,8.396421909511729e-07,6.459904743090715e-07
37.37846374511719,74,41.12566828727722,0.00040837510599998667,1714847367.5842392,956,1.3636738938447278e-07,6.90889953977811e-07,5.545225645933383e-07
41.10386061668396,75,44.851399421691895,0.0003442042746261881,1714847371.3099704,1052,1.0161417779945318e-07,5.57240509114078e-07,4.556263313146248e-07
