l2_error,loss_boundary,loss_interior,loss,_runtime,_timestamp,_step,step,time
0.12148271282427363,0.03176037131028884,0.010177443478105492,0.04193781478839433,5.674601793289185,1714598066.3237107,46,67,1.6001815795898438
0.1320363470470141,0.03389351738851011,0.017240634954018022,0.05113415234252813,5.697190999984741,1714598066.3463,47,73,1.6227262020111084
0.10055438428395468,0.022842407302634798,0.017088748787546904,0.039931156090181705,5.7265870571136475,1714598066.375696,48,81,1.652167797088623
0.09706274609889343,0.02221914482326682,0.015206774730089372,0.03742591955335619,5.7547430992126465,1714598066.403852,49,89,1.6803343296051025
0.14899041570265423,0.021127612451559193,0.008807097227379533,0.02993470967893873,5.785972833633423,1714598066.4350817,50,98,1.7115745544433594
0.13969723895431183,0.018458317281837992,0.009024134680927613,0.027482451962765605,5.817111492156982,1714598066.4662204,51,107,1.742682695388794
0.11380945355465936,0.014210205859081471,0.023488028180481485,0.037698234039562954,5.855920314788818,1714598066.5050292,52,118,1.7814710140228271
0.1291947264252714,0.018237916814935442,0.004270331741022791,0.022508248555958232,5.898051500320435,1714598066.5471604,53,130,1.8236055374145508
0.11892866926708479,0.023438598623500256,0.008699873841049234,0.03213847246454949,5.94404149055481,1714598066.5931504,54,143,1.86961030960083
0.11191378624086647,0.02156852102333061,0.005359323813854628,0.026927844837185237,5.992501974105835,1714598066.6416109,55,157,1.9180402755737305
0.11089917391996854,0.020006682942779602,0.0023542732691384884,0.022360956211918092,6.0449538230896,1714598066.6940627,56,172,1.9704279899597168
0.10993563061857409,0.018760350271923677,0.005620925171882595,0.02438127544380627,6.1071999073028564,1714598066.7563088,57,190,2.0327277183532715
0.11616377528535576,0.01802352774346654,0.00557161730380679,0.02359514504727333,6.170328855514526,1714598066.8194377,58,208,2.095855712890625
0.09982189119072511,0.013537054362974065,0.008078028333076333,0.0216150826960504,6.243077039718628,1714598066.892186,59,229,2.1685211658477783
0.11271125190655462,0.0159597045015235,0.0031724716257802684,0.01913217612730377,6.326030731201172,1714598066.9751396,60,252,2.2514405250549316
0.09350311220753485,0.013972546145185434,0.0038816036631561693,0.0178541498083416,6.416489601135254,1714598067.0655985,61,277,2.34192156791687
0.09057551358016125,0.013610837792577197,0.0017377239399943246,0.015348561732571521,6.523651838302612,1714598067.1727607,62,305,2.4490225315093994
0.09179221279728497,0.012130509712692887,0.002098920333835459,0.014229430046528345,6.63542366027832,1714598067.2845325,63,335,2.560802698135376
0.08793191390985128,0.011623438109662666,0.0022265238472576232,0.013849961956920289,6.758471727371216,1714598067.4075806,64,369,2.6839332580566406
0.08775599690077138,0.011845237379330712,0.0006568075487203147,0.012502044928051027,6.896544933319092,1714598067.5456538,65,406,2.821904182434082
0.08384195428290184,0.010663503117269183,0.0005366402007867335,0.011200143318055918,7.042654514312744,1714598067.6917634,66,446,2.968066930770874
0.08347477785675793,0.009275393812613091,0.0005932186356798756,0.009868612448292968,7.1983537673950195,1714598067.8474627,67,491,3.123774528503418
0.06419174991992468,0.006924355889480182,0.0011264029090982453,0.008050758798578427,7.375428199768066,1714598068.024537,68,540,3.3008511066436768
0.055711675989893614,0.005243093252943452,0.0014799075349999787,0.006723000787943431,7.591914653778076,1714598068.2410235,69,594,3.5171775817871094
0.043586117826384066,0.0035716724159721583,0.002449519135441129,0.006021191551413287,7.825680494308472,1714598068.4747894,70,653,3.7510881423950195
0.04009310317459044,0.0030479172885865026,0.0021776983200786173,0.0052256156086651195,8.05712628364563,1714598068.7062352,71,718,3.9825658798217773
0.03923187443051416,0.0031659139126473594,0.00132297534208837,0.004488889254735729,8.316123008728027,1714598068.965232,72,790,4.241512775421143
0.038663910441732965,0.0027782212085050743,0.0010687213213023891,0.0038469425298074634,8.60220456123352,1714598069.2513134,73,869,4.527655601501465
0.0336186652422503,0.002205390463219935,0.0010415933566598095,0.003246983819879744,8.907052278518677,1714598069.5561612,74,956,4.8325042724609375
0.03044452884481742,0.001752783819649635,0.0010465606408262547,0.0027993444604758897,9.233607769012451,1714598069.8827167,75,1052,5.158984184265137
0.028030434473889143,0.0014206314700740425,0.000975921926459728,0.0023965533965337703,9.599453687667847,1714598070.2485626,76,1157,5.524892568588257
0.025628910110874557,0.0011995714264263603,0.0007677369279525082,0.0019673083543788683,10.026108980178833,1714598070.6752179,77,1272,5.951508522033691
0.023187864555092984,0.0009535649170146443,0.0006273620532929223,0.0015809269703075666,10.4885995388031,1714598071.1377084,78,1400,6.413984537124634
0.020517640197046653,0.0007119461221188473,0.0004997075713025222,0.0012116536934213694,11.007903575897217,1714598071.6570125,79,1539,6.933308839797974
0.01790255022103303,0.0005163425945508321,0.0003790412164527807,0.0008953838110036128,11.58014726638794,1714598072.2292562,80,1693,7.505601644515991
0.014561752835210186,0.0003384058181970096,0.0003776356602780987,0.0007160414784751083,12.17889666557312,1714598072.8280056,81,1863,8.104172706604004
0.011567583630462676,0.00023051395414454254,0.00038032390605992615,0.0006108378602044687,12.868006229400635,1714598073.517115,82,2049,8.792743682861328
