l2_error,_timestamp,loss,_step,loss_boundary,loss_interior,step,time,_runtime
1.7979127221366804e-06,1714603127.8913822,9.493162873830747e-12,65,1.969149145677196e-12,7.524013728153551e-12,406,94.590984582901,98.39808320999146
8.814275381832808e-07,1714603137.0716963,3.8162104065198596e-12,66,4.680541346853551e-13,3.3481562718345046e-12,446,103.77124428749084,107.57839727401733
4.862002274921759e-07,1714603147.4123328,2.0685953105252735e-12,67,1.5956929436075852e-13,1.909026016164515e-12,491,114.11166572570801,117.91903376579285
3.237794785543181e-07,1714603158.6092067,9.995951837168434e-13,68,7.563894657367877e-14,9.239562371431645e-13,540,125.30875372886658,129.11590766906738
2.6429539891440975e-07,1714603170.971382,4.936223910141602e-13,69,4.871700017744662e-14,4.4490539083671364e-13,594,137.6706714630127,141.47808289527893
2.19976720255219e-07,1714603184.4370112,3.022486176104076e-13,70,3.201675017945507e-14,2.7023186743095254e-13,653,151.13662481307983,154.94371223449707
2.0163695132566186e-07,1714603199.2794359,2.0255425340177468e-13,71,2.4643922504943085e-14,1.7791033089683158e-13,718,165.9787425994873,169.78613686561584
1.8468374910953706e-07,1714603215.724239,1.4387806939244182e-13,72,1.9539234855265453e-14,1.2433883453717636e-13,790,182.42378616333008,186.23094010353088
1.607427159816016e-07,1714603233.7509112,1.0830847708485509e-13,73,1.4839515674729483e-14,9.34689614101256e-14,869,200.45017457008362,204.25761222839355
1.366320112041789e-07,1714603253.486333,8.527289990565448e-14,74,1.0962598296431685e-14,7.431030160922279e-14,956,220.1858992576599,223.9930338859558
1.197434174518626e-07,1714603275.3867526,7.137503255590651e-14,75,8.775924209629829e-15,6.259910834627668e-14,1052,242.08604955673218,245.89345359802246
1.0367884112953085e-07,1714603299.755384,6.145125322120976e-14,76,7.341029686358015e-15,5.411022353485175e-14,1157,266.4548816680908,270.2620849609375
9.36792871233964e-08,1714603326.303953,5.340574905345683e-14,77,6.406066212898157e-15,4.6999682840558673e-14,1272,293.003253698349,296.810653924942
8.572375434893908e-08,1714603355.8917005,4.6723233653253854e-14,78,5.646170508799133e-15,4.1077063144454725e-14,1400,322.59125113487244,326.39840149879456
8.011885098964918e-08,1714603388.009731,4.053213412673575e-14,79,5.005332998311713e-15,3.5526801128424034e-14,1539,354.7089948654175,358.51643204689026
7.482593999677621e-08,1714603423.5639946,3.55307492218748e-14,80,4.4161446985317555e-15,3.1114604523343045e-14,1693,390.26329135894775,394.0706956386566
6.897216810158925e-08,1714603462.8570516,3.121694352210663e-14,81,3.739059559673697e-15,2.7477883962432935e-14,1863,429.55656027793884,433.3637526035309
6.329019422641251e-08,1714603505.7670982,2.776713971962277e-14,82,3.167960675646629e-15,2.459917904397614e-14,2049,472.4662821292877,476.2737991809845
5.775862133278706e-08,1714603553.1700208,2.4815898212581295e-14,83,2.7239434390076686e-15,2.2091954773573625e-14,2254,519.8693251609802,523.6767218112946
5.2641760007081154e-08,1714603605.3039734,2.2126909241101304e-14,84,2.3590385821714943e-15,1.9767870658929808e-14,2479,572.0032474994659,575.8106744289398
4.7403931482166544e-08,1714603662.6222622,1.9657705907011577e-14,85,2.031049966518749e-15,1.762665594049283e-14,2727,629.3213653564453,633.1289632320404
4.2908446513323214e-08,1714603725.550208,1.7382191147629756e-14,86,1.7507991999204094e-15,1.5631391947709346e-14,3000,692.2494578361511,696.0569090843201
3.813516528515357e-08,1714603794.79455,1.5234961973689897e-14,87,1.4936038907592145e-15,1.3741358082930683e-14,3299,761.4940273761749,765.3012509346008
3.348000163579888e-08,1714603870.9068878,1.3337681480550073e-14,88,1.2889128286538224e-15,1.204876865189625e-14,3629,837.6061720848083,841.4135887622833
2.9601270399542197e-08,1714603954.7700896,1.1676569969289979e-14,89,1.1269743605061667e-15,1.0549595608783812e-14,3992,921.4693458080292,925.2767906188965
2.701783288373292e-08,1714604033.4773161,1.0447714230858264e-14,90,1.0338633852657339e-15,9.41385084559253e-15,4332,1000.1766023635864,1003.9840171337128
