loss_interior,time,_runtime,_timestamp,loss,step,_step,l2_error,loss_boundary
1.2348945631601296,12.793971538543701,16.63638138771057,1716646774.2438743,2.6469340738737985,718,71,1.4507022003453096,1.4120395107136692
0.9637097518001881,13.81187653541565,17.653825044631958,1716646775.261318,2.1681945599904893,790,72,1.3393988700528514,1.2044848081903012
0.7224872038486952,14.92588472366333,18.768067598342896,1716646776.3755605,1.7298015236500297,869,73,1.2252160426243437,1.0073143198013346
0.5367973926307017,16.157403707504272,19.99872612953186,1716646777.606219,1.3733809661119138,956,74,1.116939449472112,0.8365835734812122
0.41206219907992325,17.50540280342102,21.347801446914673,1716646778.9552944,1.1042684702996466,1052,75,1.0154346962261656,0.6922062712197232
0.3185305643636724,18.97618579864502,22.81839632987976,1716646780.4258893,0.8823601959219689,1157,76,0.9159058109757215,0.5638296315582965
0.2485925581154061,20.579415798187256,24.421735763549805,1716646782.0292287,0.6963743318587626,1272,77,0.8163411348271841,0.44778177374335654
0.19547607420726074,22.371589183807373,26.21419620513916,1716646783.8216891,0.5388903747212955,1400,78,0.715413964052635,0.3434143005140348
0.15466343653427303,24.313421487808228,28.155582189559937,1716646785.763075,0.4076166249686317,1539,79,0.6144052305698554,0.2529531884343587
0.1229373361546696,26.463589668273926,30.30609393119812,1716646787.9135869,0.2991134644563187,1693,80,0.5125682072449531,0.1761761283016491
0.09637267520048924,28.830519437789917,32.67309069633484,1716646790.2805836,0.21376997400141678,1863,81,0.41695451331569056,0.11739729880092756
0.07232827712007771,31.41602897644043,35.25848078727722,1716646792.8659737,0.15096120167001797,2049,82,0.3380682027843182,0.07863292454994028
0.051005263263947435,34.268452405929565,38.11119055747986,1716646795.7186835,0.10669377971788865,2254,83,0.2797603012230295,0.05568851645394121
0.03468950614285965,37.396939516067505,41.23926568031311,1716646798.8467586,0.07710061235903747,2479,84,0.23851765190949442,0.042411106216177816
0.02393670784924198,40.84650206565857,44.688831090927124,1716646802.296324,0.05858742774399017,2727,85,0.21048020754537375,0.03465071989474819
0.01685402138784333,44.63358187675476,48.47614145278931,1716646806.0836344,0.046605088306815326,3000,86,0.19148058542172744,0.029751066918971992
0.012074847273387668,48.78865122795105,52.631128787994385,1716646810.2386217,0.03814418828901504,3299,87,0.17713981320181732,0.02606934101562737
0.008617567952013613,53.368218421936035,57.21065092086792,1716646814.8181438,0.03135319467450446,3629,88,0.1641676705493391,0.022735626722490847
0.006085090579525736,58.399803161621094,62.24188160896301,1716646819.8493745,0.025584473119202505,3992,89,0.15117996187006655,0.019499382539676768
0.004241060380502431,63.91664409637451,67.75933146476746,1716646825.3668244,0.020592503972736854,4391,90,0.13777284711848958,0.01635144359223442
0.0036591453540111194,69.98540163040161,73.82771468162537,1716646831.4352076,0.01707716286654662,4831,91,0.12396201397092219,0.0134180175125355
0.0018868947789698618,76.65378737449646,80.49589109420776,1716646838.103384,0.012611173662559063,5314,92,0.11058977356882749,0.010724278883589202
0.0011748719189605625,83.98306584358215,87.8253002166748,1716646845.4327931,0.009594526802237865,5845,93,0.09758643071125668,0.008419654883277302
0.000697218893147404,92.04524254798889,95.88741326332092,1716646853.4949062,0.007220897097550527,6429,94,0.0855639405596474,0.006523678204403123
0.00039286254156556475,100.9171929359436,104.75967502593994,1716646862.367168,0.005444571754042078,7072,95,0.07498923931938874,0.0050517092124765135
0.00020847564438949452,110.65871953964233,114.5006947517395,1716646872.1081877,0.004156982459784238,7779,96,0.06605542018020606,0.003948506815394743
0.010108585867882151,121.39354658126831,125.23620176315308,1716646882.8436947,0.01652818161732255,8557,97,0.08001336155412728,0.0064195957494404
0.001481687683547031,133.1766014099121,137.01916790008545,1716646894.6266608,0.004717768981306974,9413,98,0.05659439293577652,0.003236081297759943
0.000408464344085658,146.0937316417694,149.93610453605652,1716646907.5435975,0.002469375108913592,10354,99,0.044755521664031954,0.002060910764827934
0.00013390941377035693,160.32606148719788,164.168612241745,1716646921.7761052,0.0016607437124036939,11389,100,0.03850140294390707,0.001526834298633337
4.8329690287607495e-05,175.9814910888672,179.82384705543518,1716646937.43134,0.0012805909787905428,12528,101,0.0348912748193005,0.0012322612885029354
2.026080602253572e-05,193.26593542099,197.10821771621704,1716646954.7157106,0.0010735098768013583,13781,102,0.03268414056720136,0.0010532490707788227
1.028363370079322e-05,212.21642351150513,216.05896878242493,1716646973.6664617,0.0009388053471805957,15159,103,0.031083958976390474,0.0009285217134798024
0.005139979012357873,233.14992475509644,236.99251890182495,1716646994.6000118,0.006559668369037342,16675,104,0.03529186334356531,0.0014196893566794692
0.0002338621011529033,256.1001808643341,259.9425005912781,1716647017.5499935,0.0011248719106699244,18342,105,0.02932083427121477,0.000891009809517021
0.0008498056022501133,281.3446292877197,285.1869523525238,1716647042.7944453,0.0015645600610259941,20177,106,0.027357767847797428,0.0007147544587758808
1.4744280625698414e-05,309.17237162590027,313.01461458206177,1716647070.6221075,0.0006060245094233881,22194,107,0.025536929521097346,0.0005912802287976897
7.43295008633694e-06,339.8147156238556,343.65747475624084,1716647101.2649677,0.0005218945511826979,24414,108,0.024297389507878558,0.000514461601096361
0.00015229764015610992,373.6302490234375,377.4731090068817,1716647135.080602,0.0007131929315384901,26855,109,0.02229590219346862,0.0005608952913823802
2.9652287525644112e-05,410.6761155128479,414.5185101032257,1716647172.126003,0.0004664763115737404,29540,110,0.02050478342109957,0.0004368240240480963
1.5262179744624235e-05,451.42402172088623,455.2664487361908,1716647212.8739417,0.0003776444999179312,32494,111,0.01918027252511314,0.000362382320173307
6.117247649598704e-05,496.3710036277771,500.21374225616455,1716647257.8212352,0.00038739526172757756,35744,112,0.017952865357358187,0.0003262227852315905
2.151822224210602e-05,545.6595287322998,549.5020267963409,1716647307.1095197,0.0002881536885151095,39318,113,0.01662094330346311,0.0002666354662730035
7.809990340395947e-05,600.1417906284332,603.9818243980408,1716647361.5893173,0.00033857430944153225,43250,114,0.015742546283040306,0.0002604744060375728
0.001296743848699413,659.782418012619,663.6252961158752,1716647421.232789,0.0015208643529401621,47575,115,0.019968296947315205,0.00022412050424074927
3.89864792364519e-05,725.4217364788055,729.264463186264,1716647486.871956,0.0001935633790252934,52332,116,0.013115629793712688,0.00015457689978884152
0.0024630781938040835,797.7951588630676,801.6379113197327,1716647559.2454042,0.0026553554612223198,57566,117,0.017674135080463817,0.00019227726741823646
4.4376950372637145e-05,877.2779381275177,881.1206624507904,1716647638.7281554,0.00015469270774945575,63322,118,0.01129052134749527,0.00011031575737681861
1.6237547061751477e-05,964.4696226119995,968.3122794628143,1716647725.9197724,0.00012042282773496033,69654,119,0.010055660058407799,0.00010418528067320886
0.00010264891081574448,1060.556544303894,1064.399425983429,1716647822.006919,0.00018013055686854563,76620,120,0.00881478928405435,7.748164605280115e-05
0.00023700955469837802,1166.029706954956,1169.8724343776703,1716647927.4799273,0.00030450033272301643,84281,121,0.013683838199213205,6.749077802463844e-05
3.9019731419774736e-05,1282.2255265712738,1286.0680499076843,1716648043.6755428,8.200716359179288e-05,92710,122,0.007000292978439847,4.2987432172018136e-05
0.011212151580610842,1409.8887932300568,1413.7314791679382,1716648171.338972,0.011449122289030242,101980,123,0.020785239550775582,0.00023697070841939948
8.97689186271786e-06,1551.2615144252777,1555.1039922237396,1716648312.7114851,3.815524086967196e-05,112178,124,0.005425296068700705,2.9178349006954105e-05
0.0002396807954441918,1705.8617625236511,1709.7044410705566,1716648467.311934,0.0002691217423935993,123396,125,0.005380039408617352,2.944094694940744e-05
5.572263191494688e-05,1876.090657711029,1879.933259010315,1716648637.540752,7.817334946625319e-05,135736,126,0.005349313475296033,2.245071755130631e-05
3.0323642882537936e-05,2063.07599902153,2066.918869972229,1716648824.526363,4.684605559611634e-05,149309,127,0.0040565780004658495,1.65224127135784e-05
4.914682702231768e-06,2268.610639810562,2272.453116416931,1716649030.0606093,1.643437639667121e-05,164240,128,0.003393510986520421,1.151969369443944e-05
0.00017387520090913035,2494.8975479602814,2498.7403206825256,1716649256.3478136,0.00018526208930680837,180664,129,0.003361162531818277,1.1386888397678025e-05
6.434206712133677e-05,2744.0579624176025,2747.9007263183594,1716649505.5082192,7.40075313949518e-05,198731,130,0.0037553561854435165,9.665464273615038e-06
9.004777744396247e-06,3000.011561870575,3003.8543124198914,1716649761.4618053,1.609501572616564e-05,217279,131,0.0024863509277369173,7.090237981769393e-06
