time,_timestamp,loss_interior,loss_boundary,_step,step,loss,_runtime,l2_error
61.23165202140808,1715920008.7301188,0.012110736610740398,0.19649138395899243,90,4391,0.20860212056973282,65.25774383544922,0.5541758764085468
67.02932977676392,1715920014.527894,0.0132066231357932,0.18821833313048222,91,4831,0.20142495626627543,71.0555191040039,0.547885430619079
73.44992351531982,1715920020.9481916,0.013461895330355786,0.18000599867189343,92,5314,0.19346789400224923,77.47581672668457,0.5396542586717177
80.47153544425964,1715920027.9699793,0.013381036515525191,0.17145368481542922,93,5845,0.1848347213309544,84.49760437011719,0.530544758853542
88.17939591407776,1715920035.6775777,0.013159468485416407,0.16290047203181313,94,6429,0.17605994051722954,92.20520281791687,0.5215076864473785
96.69710516929626,1715920044.1957738,0.012804775653806773,0.1550600580185893,95,7072,0.16786483367239607,100.7233989238739,0.5132236600076907
106.22760105133057,1715920053.725638,0.012126764549715958,0.14801435164480206,96,7779,0.160141116194518,110.25326299667358,0.5046589402688365
116.72100162506104,1715920064.2194827,0.010851180444885939,0.14002257205055954,97,8557,0.1508737524954455,120.74710774421692,0.49168040446599076
128.0863494873047,1715920075.5849538,0.009428970787483908,0.12861570613217957,98,9413,0.1380446769196635,132.11257886886597,0.4698567202179007
140.6321382522583,1715920088.1308718,0.009754378380127758,0.10930257660233733,99,10354,0.11905695498246509,144.65849685668945,0.4475078556473725
154.37185287475586,1715920101.870553,0.009223242099937187,0.09027145770456316,100,11389,0.09949469980450035,158.39817810058594,0.40696112192939204
169.49369168281555,1715920116.992636,0.008155980156095477,0.06240319043089275,101,12528,0.07055917058698823,173.52026104927063,0.33814548391501537
186.11591696739197,1715920133.6147516,0.008680529856891816,0.033976356914431585,102,13781,0.0426568867713234,190.14237666130066,0.24383131160207672
204.3961021900177,1715920151.894662,0.009828493895889799,0.019844781730668105,103,15159,0.029673275626557902,208.4222869873047,0.17915704656727283
224.45970606803894,1715920171.958669,0.00745708020105141,0.015092728176264515,104,16675,0.022549808377315926,228.4862940311432,0.15429598969272515
246.58092617988586,1715920194.080178,0.0040533758635966635,0.009863869975409568,105,18342,0.01391724583900623,250.60780310630798,0.12371942283763382
270.9488351345062,1715920218.4481308,0.0024140892412334285,0.00380173997952925,106,20177,0.006215829220762678,274.9757559299469,0.07407640100956728
297.67526602745056,1715920245.1746652,0.0008735485902418567,0.000813395836557374,107,22194,0.0016869444267992306,301.70229029655457,0.033004692238818245
327.1279809474945,1715920274.6270244,0.0002887217009702453,0.0003295832385595721,108,24414,0.0006183049395298174,331.1546494960785,0.02073496076225279
359.51246404647827,1715920307.012096,7.372909547811307e-05,0.00011995033443099184,109,26855,0.0001936794299091049,363.5397210121155,0.013472036748073072
396.23989820480347,1715920343.7390451,7.491845664386235e-05,9.007856939657914e-05,110,29540,0.00016499702604044148,400.2666702270508,0.010792646684158682
439.7943732738495,1715920387.2950044,1.7241011897287154e-05,5.6691969562889234e-05,111,32494,7.393298146017639e-05,443.8226294517517,0.008860463473060432
488.08261346817017,1715920435.5813942,9.865655655185578e-06,3.948611855304351e-05,112,35744,4.9351774208229084e-05,492.10901927948,0.007363977602739041
536.5171225070953,1715920484.0165803,2.8504534111326097e-05,2.660971933859289e-05,113,39318,5.5114253449918985e-05,540.5442054271698,0.0060224605410427404
588.5545039176941,1715920536.055058,9.965664162303817e-06,2.077827298376995e-05,114,43250,3.074393714607377e-05,592.5826830863953,0.005470382088692785
645.9237174987793,1715920593.4226565,6.65880890446515e-06,1.615904123430304e-05,115,47575,2.281785013876819e-05,649.9502816200256,0.004822192875368826
709.5498893260956,1715920657.0492136,5.634838077606968e-06,1.4434110255912633e-05,116,52332,2.00689483335196e-05,713.5768387317657,0.004494625151771013
781.5987651348114,1715920729.0983515,4.210112419312174e-06,1.039374797834983e-05,117,57566,1.4603860397662004e-05,785.6259765625,0.003881031484606196
