loss,time,loss_boundary,_timestamp,l2_error,_runtime,loss_interior,step,_step
1.595534759833214e-07,37.64496183395386,3.3019673586970153e-09,1729104563.4692147,4.4498170363808e-05,38.60602259635925,1.5625150862462439e-07,143,54
9.819266331853298e-08,42.09958338737488,2.4822444904168377e-09,1729104567.923871,4.088314488911045e-05,43.06067895889282,9.571041882811614e-08,157,55
3.625354311314782e-08,46.863380908966064,2.292336978055084e-10,1729104572.6877239,1.687504207520879e-05,47.82453179359436,3.602430941534231e-08,172,56
2.4929732235156512e-08,52.28558039665222,2.2581458232761332e-10,1729104578.1100454,1.956039343700691e-05,53.24685335159302,2.47039176528289e-08,190,57
1.966738912265434e-08,57.072959423065186,1.515609690057725e-10,1729104582.8972054,1.2442421358968857e-05,58.03401327133179,1.9515828153648566e-08,208,58
1.617043791398019e-08,62.32893419265747,9.855289403803555e-11,1729104588.153194,1.4117794837453373e-05,63.29000186920166,1.6071885019942156e-08,229,59
9.254979631998224e-09,67.60619759559631,1.8722455974004068e-10,1729104593.4304893,1.7819670638261246e-05,68.5672972202301,9.067755072258184e-09,252,60
6.557292269766168e-09,75.6855628490448,9.97443414459629e-11,1729104601.510128,1.025516266602691e-05,76.64693593978882,6.4575479283202054e-09,277,61
3.7229300912897866e-09,84.13647150993347,5.7026433747862036e-11,1729104609.9607751,6.741512054196335e-06,85.09758305549622,3.6659036575419245e-09,305,62
2.3367753536900945e-09,93.40736389160156,8.872960565124828e-11,1729104619.2316535,8.018137941130007e-06,94.36846137046814,2.2480457480388464e-09,335,63
1.6038642936627985e-09,103.98647570610046,1.671948052316189e-11,1729104629.8108084,3.2649994130806765e-06,104.94761633872986,1.5871448131396367e-09,369,64
1.0101457793317558e-09,115.20098996162415,1.9639164998485855e-11,1729104641.025493,3.6330105965170498e-06,116.16230082511902,9.9050661433327e-10,406,65
6.498114316617984e-10,128.73052072525024,1.3228804059508947e-11,1729104654.554774,2.6968146714339343e-06,129.6915819644928,6.365826276022894e-10,446,66
4.816404848794652e-10,147.90131950378418,8.607920477825966e-12,1729104673.7258868,2.3308509063693284e-06,148.8626947402954,4.730325644016393e-10,491,67
4.114272205368098e-10,171.27545166015625,4.369401145732473e-12,1729104697.0997589,1.8943976798218364e-06,172.23656678199768,4.070578193910773e-10,540,68
3.9348678464563614e-10,189.9059329032898,2.640455294113071e-12,1729104715.7304788,1.4353239662198857e-06,190.8672866821289,3.9084632935152306e-10,594,69
3.640212107017207e-10,226.56303238868713,8.828613169407978e-13,1729104752.3873162,8.971674308214062e-07,227.5241241455078,3.631383493847799e-10,653,70
3.3517827413591947e-10,271.52405166625977,5.460940491596218e-13,1729104797.3487196,7.633856791461924e-07,272.4855275154114,3.346321800867599e-10,718,71
3.088538884245217e-10,317.00951647758484,5.429453969383529e-13,1729104842.834077,7.687656852799067e-07,317.9708847999573,3.0831094302758335e-10,790,72
2.822636933581168e-10,368.6137442588806,6.980223540684313e-13,1729104894.4383047,7.702269796727754e-07,369.57511258125305,2.8156567100404836e-10,869,73
2.597604964911045e-10,426.29139733314514,7.896395642684331e-13,1729104952.1162877,7.796143719903809e-07,427.25309562683105,2.5897085692683604e-10,956,74
2.3434537458448856e-10,493.7110116481781,8.559538198000744e-13,1729105019.535653,7.359113963802721e-07,494.67246103286743,2.334894207646885e-10,1052,75
2.1130555457017283e-10,574.9518799781799,9.158097406426322e-13,1729105100.7765555,8.488996664011742e-07,575.9133634567261,2.1038974482953018e-10,1157,76
1.903918285728687e-10,666.528475522995,7.461243593107403e-13,1729105192.3530822,7.152171738416475e-07,667.4898900985718,1.8964570421355796e-10,1272,77
1.7317252117424692e-10,784.2691781520844,4.656026340427264e-13,1729105310.0937579,5.34764940798699e-07,785.2305657863617,1.727069185402042e-10,1400,78
1.5909424551733393e-10,898.8769464492798,3.3356945386070814e-13,1729105424.70176,5.014656704638614e-07,899.8385679721832,1.5876067606347322e-10,1539,79
1.4844593835949583e-10,1001.1774973869324,1.7846324699150457e-13,1729105527.0020225,3.213198419144565e-07,1002.1388304233551,1.4826747511250434e-10,1652,80
