loss_interior,time,_timestamp,step,l2_error,loss_boundary,loss,_runtime,_step
1.797529938739878e-05,14.353515625,1714840545.685634,406,0.0016941048961515803,3.762227431392287e-06,2.1737526818791067e-05,18.158002853393555,65
1.2224218600844127e-05,15.576476573944092,1714840546.9086587,446,0.0015141856217466723,3.119216510318315e-06,1.534343511116244e-05,19.381027698516846,66
8.572507542043487e-06,16.930522441864014,1714840548.262711,491,0.001163877145118293,2.588831241791414e-06,1.11613387838349e-05,20.735080003738403,67
6.161544338530077e-06,18.39584755897522,1714840549.728093,540,0.0011839786327675521,2.2887896215055257e-06,8.450333960035602e-06,22.200461864471436,68
4.717525545845631e-06,20.021174907684326,1714840551.3536396,594,0.001044496700918481,2.009982069197882e-06,6.7275076150435135e-06,23.826008558273315,69
3.86113761318752e-06,21.80965232849121,1714840553.1419585,653,0.0009092385480418229,1.607048477841381e-06,5.468186091028901e-06,25.614327430725098,70
3.2921551682748385e-06,23.766704559326172,1714840555.0983145,718,0.0007876634289576889,1.2296479635250017e-06,4.521803131799841e-06,27.570683479309082,71
2.647391043149804e-06,25.95042586326599,1714840557.2826996,790,0.0006826512102592865,9.103301806779333e-07,3.5577212238277374e-06,29.75506854057312,72
1.8900883792784816e-06,28.3350191116333,1714840559.6673152,869,0.0005282652665340845,6.132780931174697e-07,2.5033664723959514e-06,32.139684200286865,73
1.3663357715910346e-06,31.022703647613525,1714840562.3547444,956,0.0004073527226300959,3.9876041299803776e-07,1.7650961845890724e-06,34.82711338996887,74
1.0007753443517179e-06,33.96296453475952,1714840565.294701,1052,0.00031901312084015927,2.3882730465983405e-07,1.239602649011552e-06,37.767070055007935,75
7.004927985387089e-07,37.13034963607788,1714840568.4619086,1157,0.0002291586661641983,1.28040435417654e-07,8.285332339563628e-07,40.93427753448486,76
4.4489633465707475e-07,40.61677885055542,1714840571.9483964,1272,0.00021000714767470982,8.39451603966867e-08,5.288414950537615e-07,44.42076539993286,77
3.0395218078304616e-07,44.49719595909119,1714840575.8292675,1400,0.00017801346399139414,6.281129757165522e-08,3.667634783547014e-07,48.30163645744324,78
2.122174788484845e-07,48.70229649543762,1714840580.03392,1539,0.0001627728111293746,4.828893014247034e-08,2.6050640899095484e-07,52.50628900527954,79
1.6366635162614855e-07,53.2950325012207,1714840584.6267877,1693,0.0001576734418287854,4.3099186784359796e-08,2.0676553841050833e-07,57.099156618118286,80
1.402177989382159e-07,58.56797194480896,1714840589.90053,1863,0.0001450133678654668,3.6949516059890306e-08,1.771673149981062e-07,62.37289905548096,81
1.243441697014545e-07,64.1707694530487,1714840595.5027993,2049,0.00012901790949830147,2.9571357238569998e-08,1.539155269400245e-07,67.97516822814941,82
1.0352990485990267e-07,70.50464081764221,1714840601.8370707,2254,0.00011686042745327041,2.354199642830834e-08,1.27071901288211e-07,74.30943965911865,83
