_timestamp,loss_interior,time,_step,step,l2_error,loss_boundary,loss,_runtime
1712770758.2569313,1.958864775199797e-12,186.04585528373718,83,1064,1.4565236958859867e-07,5.170157491065493e-14,2.010566350110452e-12,189.65987539291382
1712770770.0366774,1.1568486453494172e-12,197.82567167282104,84,1132,1.2146363196798453e-07,4.468211545756877e-14,1.201530760806986e-12,201.43962144851685
1712770782.6518521,7.639572703968242e-13,210.44041275978088,85,1205,1.316074696894148e-07,4.703901117112346e-14,8.109962815679476e-13,214.05479621887207
1712770795.9900086,4.596113090687563e-13,223.77896189689636,86,1282,9.460771568172712e-08,2.2342764068346754e-14,4.81954073137103e-13,227.39295268058777
1712770810.1470747,2.735426767431794e-13,237.9355022907257,87,1364,7.837305638746429e-08,1.2602426217565532e-14,2.861451029607449e-13,241.55001878738403
1712770825.3551702,2.1106517708914412e-13,253.14325380325317,88,1452,7.526840439175036e-08,9.64939847298924e-15,2.2071457556213336e-13,256.75811433792114
1712770841.3683712,1.6108424151824882e-13,269.15710186958313,89,1545,6.12065589602897e-08,6.604788194441473e-15,1.676890297126903e-13,272.7713153362274
1712770858.6652281,1.1476192160569448e-13,286.4540948867798,90,1645,4.522249668205876e-08,3.5936711270277974e-15,1.1835559273272228e-13,290.0681722164154
1712770876.7701097,8.39374222662615e-14,304.5587420463562,91,1750,3.169923037861116e-08,1.980061273766023e-15,8.591748354002753e-14,308.1730537414551
1712770896.2999668,6.08620162756979e-14,324.08877873420715,92,1863,2.5607315726348007e-08,1.3280430187614736e-15,6.219005929445937e-14,327.70291090011597
1712770916.8650281,4.344817903103865e-14,344.6538870334625,93,1982,2.163635710777583e-08,9.389800427357946e-16,4.4387159073774443e-14,348.26797223091125
1712770939.070004,3.1193856056972485e-14,366.85850977897644,94,2110,1.9718635687624158e-08,7.776175162580523e-16,3.1971473573230537e-14,370.4729480743408
1712770962.4563696,2.21234121543788e-14,390.2452952861786,95,2245,1.793955255582876e-08,6.30931886303963e-16,2.2754344040682764e-14,393.85931372642517
1712770987.421828,1.549089957976404e-14,415.2104742527008,96,2389,1.5809646957806305e-08,4.535069389148534e-16,1.5944406518678893e-14,418.8247721195221
1712771014.1532247,1.0863210140314773e-14,441.9415328502655,97,2543,1.3270182838148057e-08,3.2731993075216706e-16,1.119053007106694e-14,445.55616879463196
1712771042.420999,7.964520701281987e-15,470.2094385623932,98,2706,1.1484320384020654e-08,2.345119890417547e-16,8.199032690323742e-15,473.82394313812256
1712771072.5709789,5.994365133357823e-15,500.3598282337189,99,2880,9.56360275598458e-09,1.421442412424689e-16,6.136509374600292e-15,503.97392296791077
1712771104.5855603,4.660258767899971e-15,532.3741135597229,100,3065,8.330421887278544e-09,9.625434036642507e-17,4.756513108266396e-15,535.98850440979
1712771138.504403,3.6967557444350775e-15,566.2933125495911,101,3261,7.382246626863683e-09,7.542922892601568e-17,3.772184973361093e-15,569.907347202301
1712771174.7310014,3.017138038832839e-15,602.5194125175476,102,3471,6.970337705951432e-09,6.740911677381477e-17,3.084547155606654e-15,606.1339454650879
1712771213.34095,2.5332254252364027e-15,641.1295344829559,103,3694,6.7268016077457905e-09,6.811405876989506e-17,2.601339484006298e-15,644.7438941001892
1712771254.2563164,2.165389799101548e-15,682.0443527698517,104,3931,6.8284580164864115e-09,7.22790588492366e-17,2.237668857950785e-15,685.6592605113983
1712771297.812441,1.866878873707702e-15,725.6012389659882,105,4183,6.665593475483795e-09,7.462983579303836e-17,1.9415087095007407e-15,729.2153851985931
1712771344.297724,1.6337039293042615e-15,772.0862617492676,106,4452,6.353050533360154e-09,7.186742748285546e-17,1.705571356787117e-15,775.7006680965424
1712771393.7589936,1.4439881668638824e-15,821.5475442409515,107,4738,5.987965124377863e-09,6.736548916918573e-17,1.5113536560330681e-15,825.161937713623
