loss_boundary,loss_interior,time,_step,l2_error,_timestamp,step,loss,_runtime
6.398701868620023e-08,6.376591784913848e-07,285.7647933959961,97,0.000189501397460249,1714514255.4321542,8557,7.01646197177585e-07,291.2078592777252
6.398701868620023e-08,6.376591784913848e-07,307.76499104499817,98,0.000189501397460249,1714514277.432759,9413,7.01646197177585e-07,313.2084641456604
6.398701868620023e-08,6.376591784913848e-07,331.60892939567566,99,0.000189501397460249,1714514301.276813,10354,7.01646197177585e-07,337.05251812934875
6.398701868620023e-08,6.376591784913848e-07,357.74837851524353,100,0.000189501397460249,1714514327.41585,11389,7.01646197177585e-07,363.19155502319336
6.398701868620023e-08,6.376591784913848e-07,386.58300948143005,101,0.000189501397460249,1714514356.2506287,12528,7.01646197177585e-07,392.0263338088989
6.398701868620023e-08,6.376591784913848e-07,418.49456000328064,102,0.000189501397460249,1714514388.162323,13781,7.01646197177585e-07,423.9380280971527
6.398701868620023e-08,6.376591784913848e-07,453.60522985458374,103,0.000189501397460249,1714514423.272945,15159,7.01646197177585e-07,459.0486500263214
6.398701868620023e-08,6.376591784913848e-07,491.929701089859,104,0.000189501397460249,1714514461.597475,16675,7.01646197177585e-07,497.3731801509857
6.398701868620023e-08,6.376591784913848e-07,534.4903745651245,105,0.000189501397460249,1714514504.1580281,18342,7.01646197177585e-07,539.9337332248688
6.398701868620023e-08,6.376591784913848e-07,580.8947834968567,106,0.000189501397460249,1714514550.562421,20177,7.01646197177585e-07,586.3381261825562
6.398701868620023e-08,6.376591784913848e-07,631.9852585792542,107,0.000189501397460249,1714514601.6530209,22194,7.01646197177585e-07,637.4287259578705
6.398701868620023e-08,6.376591784913848e-07,688.194938659668,108,0.000189501397460249,1714514657.8625662,24414,7.01646197177585e-07,693.6382713317871
6.398701868620023e-08,6.376591784913848e-07,749.7326021194458,109,0.000189501397460249,1714514719.4003127,26855,7.01646197177585e-07,755.1760177612305
6.398701868620023e-08,6.376591784913848e-07,817.7486836910248,110,0.000189501397460249,1714514787.4162407,29540,7.01646197177585e-07,823.1919457912445
6.398701868620023e-08,6.376591784913848e-07,892.4723880290985,111,0.000189501397460249,1714514862.1399462,32494,7.01646197177585e-07,897.9156513214111
6.398701868620023e-08,6.376591784913848e-07,975.1901605129242,112,0.000189501397460249,1714514944.8578603,35744,7.01646197177585e-07,980.6335654258728
6.398701868620023e-08,6.376591784913848e-07,1000.0203785896301,113,0.000189501397460249,1714514969.6878607,36725,7.01646197177585e-07,1005.463565826416
