l2_error,loss_boundary,time,_timestamp,_step,loss_interior,loss,_runtime,step
0.007302991711309917,8.08975455214631e-06,97.19213485717773,1715441711.7993987,67,1.1381825416908416e-06,9.227937093837152e-06,101.00783658027649,491
0.006582686753650668,6.205607427879163e-06,106.57956671714783,1715441721.1860485,68,9.575922674368193e-07,7.163199695315982e-06,110.39448642730713,540
0.005885937747726938,4.701040013276678e-06,116.88937664031982,1715441731.4958873,69,8.046945368587347e-07,5.5057345501354124e-06,120.7043251991272,594
0.005211110534183676,3.4836884737449204e-06,128.2481496334076,1715441742.854794,70,6.70585918101865e-07,4.154274391846785e-06,132.06323194503784,653
0.004538821650813533,2.4675174804717825e-06,140.6737186908722,1715441755.2802463,71,5.472803895430056e-07,3.014797870014788e-06,144.48868417739868,718
0.0038497504933673737,1.6267426702924117e-06,154.45753455162048,1715441769.0639467,72,4.319139710612598e-07,2.0586566413536714e-06,158.2723846435547,790
0.0032663118843348354,1.0364094505227446e-06,169.66329145431519,1715441784.2701135,73,3.3811560355721316e-07,1.3745250540799578e-06,173.47855138778687,869
0.002736337598889626,6.260663844316058e-07,186.3760645389557,1715441800.9825597,74,2.5840845389288067e-07,8.844748383244864e-07,190.19099760055542,956
0.002361961014327966,3.950098343377672e-07,204.8177695274353,1715441819.4241834,75,1.9804682058998024e-07,5.930566549277474e-07,208.63262128829956,1052
0.002041995628209038,2.4744682141787933e-07,225.00475335121155,1715441839.6115925,76,1.5126175923017683e-07,3.9870858064805616e-07,228.82003045082092,1157
0.0017851166809601366,1.5835031150827853e-07,246.94700932502747,1715441861.553387,77,1.1573732464564978e-07,2.740876361539283e-07,250.7618248462677,1272
0.0016075650101732967,1.1176229981350577e-07,271.45323276519775,1715441886.0598912,78,9.154157413884947e-08,2.0330387395235524e-07,275.26832914352417,1400
0.001493106695228787,8.808178827374258e-08,298.17333912849426,1715441912.7797458,79,7.636362351871058e-08,1.6444541179245316e-07,301.98818373680115,1539
