l2_error,loss_interior,time,_step,_timestamp,loss_boundary,loss,step,_runtime
0.0654474828863633,0.008847918122777122,3.9408435821533203,62,1714520524.9864137,0.006554369751212951,0.015402287873990072,305,7.861940622329712
0.06584711128938632,0.008489601828177302,4.189944505691528,63,1714520525.2355604,0.00642938146205632,0.014918983290233622,335,8.111087322235107
0.06511685340627651,0.005268412661258625,4.469715356826782,64,1714520525.515257,0.00620823932982011,0.011476651991078736,369,8.390783786773682
0.06408407395475785,0.00453973999652611,4.761907339096069,65,1714520525.8074756,0.006057813592260015,0.010597553588786125,406,8.683002471923828
0.06326585516182694,0.003997171561091788,5.116835355758667,66,1714520526.1624973,0.005912355375742114,0.009909526936833902,446,9.038024187088013
0.06258814643641886,0.015499771476907611,5.486463785171509,67,1714520526.532188,0.005908450421408402,0.021408221898316013,491,9.40771484375
0.061957595324800684,0.003287101882446303,5.908374071121216,68,1714520526.9540951,0.005676808289352432,0.008963910171798735,540,9.829622030258179
0.06095612605458396,0.0029352261156052346,6.363994359970093,69,1714520527.4098341,0.005557285246614755,0.00849251136221999,594,10.285361051559448
0.06020199988188704,0.00265193020823302,6.830193996429443,70,1714520527.8759181,0.0054412925879976145,0.008093222796230634,653,10.751445055007935
0.05919774601478678,0.002788286873846911,7.3667144775390625,71,1714520528.412292,0.005386615188194205,0.008174902062041117,718,11.287818908691406
0.05892620121712846,0.0021726441959106766,7.95251202583313,72,1714520528.998164,0.005271019086072069,0.007443663281982746,790,11.873690843582153
0.05815764764556083,0.0019140596603336836,8.657516479492188,73,1714520529.703195,0.005158556301328677,0.007072615961662361,869,12.57872200012207
0.05773995503674106,0.0017725274331837708,9.392346620559692,74,1714520530.4383013,0.005096747804647245,0.006869275237831016,956,13.313828229904175
0.056931515649951143,0.0014780359712570704,10.212104320526123,75,1714520531.2576768,0.004973708902366139,0.006451744873623209,1052,14.133203744888306
0.06206977167540557,0.08698146687733142,11.073567152023315,76,1714520532.1192243,0.004983251847036174,0.0919647187243676,1157,14.994751214981079
0.055561179969419554,0.0010600444766507371,12.004271507263184,77,1714520533.0499382,0.004764033526360163,0.0058240780030109005,1272,15.925465106964111
0.0546724354950034,0.0009374700148518474,13.03992247581482,78,1714520534.0857902,0.004626737627924727,0.005564207642776574,1400,16.96131706237793
0.053942835815865495,0.0007145649994584208,14.189476251602173,79,1714520535.2350569,0.004527977536949775,0.005242542536408196,1539,18.110583782196045
0.05302430912530422,0.0006316233906391363,15.441628456115723,80,1714520536.4872417,0.004390460260831765,0.005022083651470901,1693,19.36276865005493
0.052258319006947974,0.0005339716654281347,16.812076330184937,81,1714520537.8576193,0.004293365990237469,0.0048273376556656035,1863,20.73314619064331
0.054955386737808476,0.03325270681708863,18.331037759780884,82,1714520539.3769991,0.004266708565815476,0.03751941538290411,2049,22.25252604484558
0.05073691744127147,0.0004504691390397722,20.042374849319458,83,1714520541.088063,0.004076894474307166,0.004527363613346938,2254,23.963589906692505
0.05863037059894795,0.07726635006274202,21.865636110305786,84,1714520542.911509,0.004131814396647566,0.08139816445938958,2479,25.787035942077637
0.04728324802356602,0.009119710928755652,23.857667207717896,85,1714520544.9036648,0.003904816820618663,0.013024527749374315,2727,27.779191732406616
0.04816403656544577,0.0003648157444369854,26.157373189926147,86,1714520547.2030501,0.003674655247874927,0.004039470992311912,3000,30.078577041625977
0.046733660347797336,0.008398554177853157,28.590651512145996,87,1714520549.636626,0.0035478942908766715,0.011946448468729828,3299,32.512152910232544
0.04620103255283003,0.0017269081373587295,31.283771514892578,88,1714520552.3296607,0.003268826168570864,0.004995734305929594,3629,35.20518755912781
0.044421496662832155,0.03679818773031913,34.182252407073975,89,1714520555.2283134,0.0030917020808316348,0.03988988981115076,3992,38.103840351104736
0.041345402516314786,0.000342634762926616,37.477073669433594,90,1714520558.523036,0.002699710606017556,0.003042345368944172,4391,41.39856290817261
0.040748112452987525,0.02551436138658998,41.01936435699463,91,1714520562.065275,0.002450002650710345,0.027964364037300328,4831,44.94080185890198
0.03578244356192657,0.03484130384118323,44.96393299102783,92,1714520566.0096455,0.0021517546888458507,0.036993058530029085,5314,48.88517236709595
0.03538871359569389,0.014742004565261226,49.19926333427429,93,1714520570.2451737,0.0017881827491220235,0.01653018731438325,5845,53.12070059776306
0.030589440425051517,0.0007221962646539493,53.950597286224365,94,1714520574.996321,0.001463615313508044,0.0021858115781619933,6429,57.8718478679657
0.026767740783068077,0.00040910516038046455,59.20107913017273,95,1714520580.2470453,0.001172332196634215,0.0015814373570146797,7072,63.12257218360901
0.02456844834957582,0.0019729861191950123,64.89577436447144,96,1714520585.9416673,0.0009055488821643455,0.0028785350013593577,7779,68.81719422340393
0.02205962416963559,0.002297924411172631,71.24345421791077,97,1714520592.2890975,0.0006563886345262682,0.002954313045698899,8557,75.16462445259094
0.01792620540631339,0.0028537274285731573,77.93100070953369,98,1714520598.9768438,0.0005083235114337527,0.00336205094000691,9413,81.85237073898315
0.01362374506706873,0.0009625963968891854,85.41412687301636,99,1714520606.4601452,0.00034634924207296223,0.0013089456389621477,10354,89.33567214012146
0.011754199124667287,0.0005223596610767799,93.83088397979736,100,1714520614.8803718,0.00025255861079723446,0.0007749182718740144,11389,97.75589871406555
0.010097710283887416,0.00018391061229460054,102.9873366355896,101,1714520624.0333188,0.00018328964387406474,0.0003672002561686653,12528,106.90884566307068
0.008554069256449194,0.0006607633981341299,113.32753682136536,102,1714520634.3735278,0.00015090684433898135,0.0008116702424731113,13781,117.24905467033386
0.0069203721769298425,0.0002649377333448367,124.46446394920349,103,1714520645.5104184,0.00011183602452546582,0.00037677375787030254,15159,128.3859453201294
0.005993289468423727,0.0006265464492402448,136.60395693778992,104,1714520657.6499262,8.108657697796801e-05,0.0007076330262182128,16675,140.52545309066772
0.008940710740016213,0.0021579222500963707,150.0072798728943,105,1714520671.0530694,6.283408047415023e-05,0.002220756330570521,18342,153.92859625816345
0.004545832041693831,0.0018289301923783026,164.86127734184265,106,1714520685.9073262,4.371557013937514e-05,0.0018726457625176777,20177,168.78285312652588
0.004073197070961933,0.00048012460053618384,181.1169364452362,107,1714520702.162807,3.2899444624394754e-05,0.0005130240451605786,22194,185.03833389282227
0.004456607390524863,0.0016835195852967426,199.05033707618713,108,1714520720.0962877,3.209724093002151e-05,0.0017156168262267642,24414,202.97181463241577
0.00347813650776506,0.00047045372712201154,218.95331001281738,109,1714520739.9992626,2.7752753923460243e-05,0.0004982064810454717,26855,222.87478947639465
0.0031043560977918137,0.00015619237264894212,240.80018782615662,110,1714520761.8460484,2.1102805648927127e-05,0.00017729517829786926,29540,244.72157526016235
0.0030143171482096024,0.00046214560613323894,264.9946196079254,111,1714520786.0405822,1.9464480509574403e-05,0.00048161008664281336,32494,268.916109085083
0.004624105369699129,0.002068265352763705,291.0334208011627,112,1714520812.0794659,2.080506087781944e-05,0.0020890704136415244,35744,294.9549927711487
0.002395418968662868,0.00032514168668381315,320.0661430358887,113,1714520841.1120827,1.5194209028550374e-05,0.00034033589571236353,39318,323.98760962486267
0.008833234148158172,0.0012933859434807963,352.0207815170288,114,1714520873.0667942,2.789105342772566e-05,0.001321276996908522,43250,355.942321062088
0.0050273234185262364,0.0010788957687159226,387.01559686660767,115,1714520908.0615442,1.4329314974050627e-05,0.001093225083689973,47575,390.9370710849762
0.0038442457129321773,0.0009499214142497938,425.6670217514038,116,1714520946.7129881,2.6258264992897395e-05,0.0009761796792426912,52332,429.58851504325867
0.001910334752568399,5.835525868334994e-05,468.07175040245056,117,1714520989.1177588,6.8881979124716055e-06,6.524345659582155e-05,57566,471.99328565597534
0.003342956867558539,0.0007015494315501394,515.0088398456573,118,1714521036.0548131,5.85398578998218e-06,0.0007074034173401216,63322,518.930340051651
0.006280101014486562,0.0011952684155293832,566.4980175495148,119,1714521087.5440097,8.331863018732819e-06,0.001203600278548116,69654,570.4195365905762
0.001101905019444537,0.000165977082566399,622.7296123504639,120,1714521143.7754679,3.171894242810218e-06,0.00016914897680920922,76620,626.6509947776794
0.0037246795138387583,0.0005528651936349913,685.1959092617035,121,1714521206.241849,1.106522588275087e-05,0.0005639304195177422,84281,689.1173758506775
0.0019950039726571753,0.000135592360672947,753.5667335987091,122,1714521274.6126149,1.9329652684997505e-06,0.00013752532594144673,92710,757.4881417751312
0.002243008490581244,0.0014240601262176197,828.6148779392242,123,1714521349.6608706,7.291598636432101e-06,0.0014313517248540518,101980,832.5363974571228
0.003607846777172661,0.0004828158569164099,909.9151201248169,124,1714521430.9609938,4.015599104375126e-06,0.000486831456020785,112178,913.8365206718445
0.00092234138709153,1.3141037670689185e-05,999.2398552894592,125,1714521520.2858462,1.5431355058820478e-06,1.4684173176571233e-05,123396,1003.1613731384277
0.0007310623700950002,8.946891589323176e-06,1000.0028908252716,126,1714521521.048433,7.492127915940558e-07,9.696104380917231e-06,123491,1003.9239599704742
