_runtime,l2_error,_timestamp,_step,loss_interior,time,loss,loss_boundary,step
1167.761530637741,0.0002932402384455942,1720631925.7820697,41,6.701732476519757e-08,1167.3435146808624,1.4523408271444275e-07,7.821675794924518e-08,42
1326.133543729782,0.00019216580095029323,1720632084.1540828,42,1.738176159053228e-08,1325.715533733368,5.175215684274848e-08,3.4370395252216196e-08,46
1484.334133863449,0.00018230874852074585,1720632242.354673,43,1.4904811578423787e-08,1483.9161927700043,3.515080401350289e-08,2.02459924350791e-08,50
1682.3730437755585,0.0001111834868457913,1720632440.3935828,44,1.3321633875091177e-08,1681.9550669193268,2.242031321380995e-08,9.098679338718776e-09,55
1919.8836481571198,0.00013882907343305787,1720632677.9041872,45,5.022552336960116e-09,1919.4656698703766,1.846376351926864e-08,1.3441211182308525e-08,61
2157.353695869446,7.410321508135644e-05,1720632915.374235,46,5.0704608185396286e-09,2156.935758113861,9.624368057631583e-09,4.553907239091954e-09,67
2394.597333908081,5.624341060045898e-05,1720633152.617873,47,2.2854176955544082e-09,2394.179363012314,5.176720348525221e-09,2.891302652970813e-09,73
2710.9083890914917,4.929678092257229e-05,1720633468.9289281,48,1.8424618952527375e-09,2710.4904141426086,4.052524627864002e-09,2.2100627326112645e-09,81
3027.2455520629883,4.321194271234028e-05,1720633785.266091,49,1.134827402642153e-09,3026.827419757843,2.819777220917132e-09,1.684949818274979e-09,89
3383.2133886814117,3.5831354127971674e-05,1720634141.2339277,50,8.697201726849844e-10,3382.795455932617,2.2239643596622003e-09,1.354244186977216e-09,98
3739.09663105011,3.503703153227021e-05,1720634497.11717,51,6.699508991363082e-10,3738.678589105606,1.5775018428518842e-09,9.075509437155759e-10,107
4174.110444068909,2.7908551213535547e-05,1720634932.130983,52,5.493788849425192e-10,4173.692476511002,1.191073443705005e-09,6.416945587624857e-10,118
4648.501580953598,2.4817450716386098e-05,1720635406.52212,53,4.676137470319362e-10,4648.083553552628,1.0472564366017977e-09,5.796426895698615e-10,130
5162.509585142136,2.3005195631197488e-05,1720635920.5301242,54,4.029027202943763e-10,5162.091600894928,1.024972092048841e-09,6.220693717544646e-10,143
5715.924196481705,2.2815141510390914e-05,1720636473.9447355,55,3.339270048918156e-10,5715.506207227707,8.75095315840385e-10,5.411683109485694e-10,157
6032.22394156456,2.1727041402585903e-05,1720636790.2444806,56,3.031330992916805e-10,6031.805252313614,7.210998836317647e-10,4.179667843400842e-10,165
