l2_error,_timestamp,_runtime,step,_step,loss_boundary,loss,time,loss_interior
3.945125204467928,1723482614.605412,462.31678795814514,3299,87,2.034613601263862,3.2851073866572253,461.77479362487793,1.2504937853933635
2.7281226545620494,1723482660.9034517,508.61482763290405,3629,88,0.42906418183509176,1.2801480087685149,508.0668442249298,0.8510838269334232
4.1395798052884345,1723482710.8158207,558.5271966457367,3992,89,3.202330269560996,4.159570426962411,557.9737350940704,0.9572401574014144
2.5606794577122303,1723482766.1348453,613.8462212085724,4391,90,0.3781850871477981,0.9361748274472607,613.292733669281,0.5579897402994626
1.3467018657595347,1723482827.7747962,675.4861721992493,4831,91,1.0338223105190707,1.5890599560703493,674.9398860931396,0.5552376455512785
2.227254812843496,1723482894.236863,741.9482388496399,5314,92,0.38060375721761525,0.7973794037583206,741.3989918231964,0.4167756465407053
2.1052559528942183,1723482968.6262126,816.3375885486603,5845,93,0.24824477907767814,0.5670643513298178,815.7925117015839,0.31881957225213964
3.379611654895468,1723483049.84018,897.5515558719635,6429,94,1.9948967855349498,2.543578903948395,896.9981293678284,0.548682118413445
0.9877843525843929,1723483138.6923714,986.4037473201752,7072,95,0.475665163366884,0.8869296201083927,985.8489453792572,0.41126445674150863
3.3786956054309663,1723483235.1436448,1082.8550207614899,7779,96,2.477356389105219,2.9366724699111724,1082.3075976371765,0.45931608080595315
1.060340110730904,1723483342.6075914,1190.3189673423767,8557,97,0.26360072892225606,0.5556504183908733,1189.7652151584625,0.29204968946861726
0.8904318334851801,1723483460.1473176,1307.858693599701,9413,98,0.5703401762759354,0.8161417876027928,1307.3050787448883,0.24580161132685735
1.7883379221380387,1723483593.924859,1441.636234998703,10354,99,0.11125549348487378,0.7125583904386305,1441.0824625492096,0.6013028969537567
1.590072855558936,1723483737.711371,1585.4227468967438,11389,100,0.21764426704560344,0.3854597097282705,1584.8681223392487,0.16781544268266702
2.1527981392987554,1723483898.7251484,1746.4365243911743,12528,101,0.8190033589337011,1.6457923646731623,1745.882562637329,0.8267890057394611
1.6693779628729797,1723484075.642668,1923.3540439605713,13781,102,0.21908648502474032,0.7401291826973901,1922.800743341446,0.5210426976726498
2.7048372050860445,1723484266.2338636,2113.945239543915,15159,103,1.652891658454234,1.8299786753866751,2113.390268802643,0.1770870169324413
0.9123744754980777,1723484474.7848988,2322.4962747097015,16675,104,0.032792275049081936,0.12148373606656865,2321.9510667324066,0.0886914610174867
1.486034956429869,1723484704.256236,2551.967612028122,18342,105,0.34737623105468507,0.44966422141249285,2551.4132812023163,0.10228799035780779
0.6659907072875398,1723484960.2285855,2807.9399614334106,20177,106,0.04774730214000162,0.2889355690879235,2807.3867795467377,0.24118826694792186
1.2905681060544363,1723485240.7726054,3088.483981370926,22194,107,0.25341298526621486,0.3567222326186604,3087.937805891037,0.10330924735244551
0.6757276455232241,1723485549.9367595,3397.6481354236603,24414,108,0.01588540585922528,0.10725885749040877,3397.0941619873047,0.09137345163118349
0.49479685927211203,1723485889.9525852,3737.663961172104,26855,109,0.06640649191562013,0.11893614103052108,3737.1087124347687,0.05252964911490094
0.67158033367272,1723486263.5816338,4111.293009757996,29540,110,0.04943996479399185,0.41661608120417326,4110.739104509354,0.36717611641018144
1.1188851653352854,1723486679.3239007,4527.035276651382,32494,111,0.2803343153803802,0.3731418028922934,4526.481705665588,0.09280748751191321
0.7295690720359695,1723487135.2975628,4983.008938789368,35744,112,0.017305940341318677,0.16307662113711613,4982.455701828003,0.14577068079579744
0.5516765302547944,1723487638.1989424,5485.910318374634,39318,113,0.0225827263537561,0.06647990942239124,5485.35636973381,0.04389718306863513
0.5154320744803915,1723488152.8753726,6000.586748600006,42961,114,0.010166645301999143,0.04804863605473357,6000.033362388611,0.03788199075273443
