_step,loss_interior,_timestamp,loss_boundary,loss,step,l2_error,time,_runtime
106,1.4227397084985901e-05,1713954357.4880054,1.4195569534347172e-06,1.5646954038420617e-05,12465,0.0013894448501811764,803.9304885864258,807.6735453605652
107,1.4227397084985901e-05,1713954390.5550785,1.4195569534347172e-06,1.5646954038420617e-05,13411,0.0013894448501811764,836.9974119663239,840.7406184673309
108,1.4227397084985901e-05,1713954426.1659193,1.4195569534347172e-06,1.5646954038420617e-05,14428,0.0013894448501811764,872.6081681251526,876.3514592647552
109,1.4227397084985901e-05,1713954464.3125067,1.4195569534347172e-06,1.5646954038420617e-05,15522,0.0013894448501811764,910.7547950744629,914.4980466365814
110,1.4227397084985901e-05,1713954505.869427,1.4195569534347172e-06,1.5646954038420617e-05,16699,0.0013894448501811764,952.3115434646606,956.0549669265747
111,1.4227397084985901e-05,1713954550.2942894,1.4195569534347172e-06,1.5646954038420617e-05,17966,0.0013894448501811764,996.736608505249,1000.4798293113708
112,1.4227397084985901e-05,1713954597.9764378,1.4195569534347172e-06,1.5646954038420617e-05,19329,0.0013894448501811764,1044.4186108112335,1048.1619777679443
113,1.4227397084985901e-05,1713954649.4172163,1.4195569534347172e-06,1.5646954038420617e-05,20795,0.0013894448501811764,1095.8594834804535,1099.6027562618256
114,1.4227397084985901e-05,1713954704.5118983,1.4195569534347172e-06,1.5646954038420617e-05,22372,0.0013894448501811764,1150.9539849758148,1154.6974382400513
115,1.4227397084985901e-05,1713954764.044399,1.4195569534347172e-06,1.5646954038420617e-05,24069,0.0013894448501811764,1210.4866127967834,1214.2299389839172
116,1.4227397084985901e-05,1713954828.2071176,1.4195569534347172e-06,1.5646954038420617e-05,25894,0.0013894448501811764,1274.649233341217,1278.3926575183868
117,1.4227397084985901e-05,1713954896.8671422,1.4195569534347172e-06,1.5646954038420617e-05,27858,0.0013894448501811764,1343.309454202652,1347.0526821613312
118,1.4227397084985901e-05,1713954970.9331179,1.4195569534347172e-06,1.5646954038420617e-05,29971,0.0013894448501811764,1417.3755519390106,1421.1186578273773
119,1.4227397084985901e-05,1713955050.534378,1.4195569534347172e-06,1.5646954038420617e-05,32245,0.0013894448501811764,1496.9764790534973,1500.719918012619
120,1.4227397084985901e-05,1713955136.656517,1.4195569534347172e-06,1.5646954038420617e-05,34690,0.0013894448501811764,1583.098739862442,1586.8420569896698
121,1.4227397084985901e-05,1713955228.779441,1.4195569534347172e-06,1.5646954038420617e-05,37321,0.0013894448501811764,1675.221825838089,1678.9649810791016
122,1.4227397084985901e-05,1713955328.095575,1.4195569534347172e-06,1.5646954038420617e-05,40152,0.0013894448501811764,1774.5377979278564,1778.2811150550842
123,1.4227397084985901e-05,1713955434.6423583,1.4195569534347172e-06,1.5646954038420617e-05,43197,0.0013894448501811764,1881.0847852230072,1884.8278982639313
124,1.4227397084985901e-05,1713955549.5992005,1.4195569534347172e-06,1.5646954038420617e-05,46474,0.0013894448501811764,1996.0415115356445,1999.784740447998
125,1.4227397084985901e-05,1713955672.8652592,1.4195569534347172e-06,1.5646954038420617e-05,49998,0.0013894448501811764,2119.3076100349426,2123.0507991313934
126,1.4227397084985901e-05,1713955672.9040847,1.4195569534347172e-06,1.5646954038420617e-05,49999,0.0013894448501811764,2119.346668243408,2123.089624643326
