loss,time,l2_error,_step,_timestamp,loss_boundary,loss_interior,_runtime,step
122.0685312790604,2.8162970542907715,1.577085846863814,40,1713917323.3612108,1.4714286816287598,120.59710259743163,6.796366930007935,156
122.06853114543797,2.9502737522125244,1.5770840409696283,41,1713917323.4955583,1.4714285480063407,120.59710259743163,6.93071436882019,171
122.0685311097471,3.087679862976074,1.5770864621250151,42,1713917323.6330018,1.47142851231547,120.59710259743163,7.068157911300659,187
122.06853110781779,3.233961343765259,1.5770818859284874,43,1713917323.7794647,1.4714285103861662,120.59710259743163,7.21462082862854,204
122.06853110662298,3.395341634750366,1.5770829558705686,44,1713917323.9407783,1.4714285091913613,120.59710259743163,7.375934362411499,223
122.06853110643988,3.574995994567871,1.5770825958846166,45,1713917324.1201742,1.4714285090082517,120.59710259743163,7.555330276489258,244
122.0685311064403,3.767343044281006,1.5770827453285303,46,1713917324.3125157,1.4714285090086816,120.59710259743163,7.747671842575073,266
122.0685311064395,3.9865102767944336,1.5770827859445953,47,1713917324.5318112,1.4714285090078583,120.59710259743163,7.966967344284058,291
122.06853110643948,4.222280025482178,1.577082805740543,48,1713917324.767605,1.4714285090078534,120.59710259743163,8.202761173248291,318
122.06853110643948,4.475869655609131,1.5770828028149053,49,1713917325.0207467,1.4714285090078436,120.59710259743163,8.455902814865112,347
122.06853110643948,4.755002498626709,1.5770828037986921,50,1713917325.300361,1.4714285090078436,120.59710259743163,8.735517024993896,380
122.06853110643948,5.050678730010986,1.5770828037781432,51,1713917325.595882,1.4714285090078434,120.59710259743163,9.031038045883179,415
122.06853110643948,5.3774330615997314,1.577082803770489,52,1713917325.9227355,1.4714285090078434,120.59710259743163,9.35789155960083,453
122.06853110643948,5.736988306045532,1.577082803774924,53,1713917326.2824588,1.4714285090078434,120.59710259743163,9.717614889144897,495
122.06853110643948,6.128041505813599,1.5770828037746782,54,1713917326.6732895,1.4714285090078434,120.59710259743163,10.108445644378662,541
122.06853110643948,6.558138847351074,1.5770828037746378,55,1713917327.103726,1.4714285090078434,120.59710259743163,10.53888201713562,592
122.06853110643948,7.022942781448364,1.5770828037746378,56,1713917327.5684268,1.4714285090078434,120.59710259743163,11.003582954406738,647
122.06853110643948,7.535096883773804,1.577082803774638,57,1713917328.0804904,1.4714285090078434,120.59710259743163,11.51564645767212,707
122.06853110643948,8.077214241027832,1.577082803774638,58,1713917328.6227527,1.4714285090078434,120.59710259743163,12.057908773422241,772
122.06853110643948,8.681015014648438,1.5770828037746378,59,1713917329.2264743,1.4714285090078434,120.59710259743163,12.661630392074585,844
122.06853110643948,9.329612493515015,1.5770828037746372,60,1713917329.875021,1.4714285090078434,120.59710259743163,13.310177087783813,922
122.068576253444,10.043698787689209,1.5766829039369081,61,1713917330.5892503,1.4714736560123656,120.59710259743163,14.024406433105469,1008
122.0686398806804,10.82273817062378,1.5773232851713572,62,1713917331.3681948,1.471537283248882,120.59710259743152,14.803350925445557,1101
122.06853110787563,11.677018642425537,1.5770825504175472,63,1713917332.222245,1.4714285104441183,120.59710259743152,15.657401084899902,1203
