l2_error,time,_timestamp,loss_boundary,_step,_runtime,loss,step,loss_interior
0.010039930121873977,67.25440335273743,1714776936.9977322,8.625119879224305e-05,71,72.39259219169617,0.0006515752489365609,718,0.0005653240501443178
0.008818818884622003,73.57353711128235,1714776943.3163524,5.878566175930401e-05,72,78.7112123966217,0.0004170236870924838,790,0.00035823802533317976
0.007739532074481765,80.82945322990417,1714776950.5727532,4.3980308446042405e-05,73,85.96761322021484,0.0002881194587088824,869,0.00024413915026284
0.007528929803762073,88.48847818374634,1714776958.231664,3.680524760173015e-05,74,93.62652397155762,0.0002082573193565481,956,0.00017145207175481793
0.007024790459762164,97.13421535491943,1714776966.8777344,3.25383355338727e-05,75,102.2725944519043,0.00016368111588470656,1052,0.00013114278035083386
0.006458177579610084,106.43013787269592,1714776976.1735067,2.865528903802654e-05,76,111.56836676597595,0.00013478563185683747,1157,0.00010613034281881093
0.005957250626459894,116.89315629005432,1714776986.636648,2.3773591139605566e-05,77,122.03150796890259,0.00011251358652256295,1272,8.873999538295738e-05
0.0055642071994868175,128.20167231559753,1714776997.9449944,1.855265080638662e-05,78,133.33985447883606,9.228476133953331e-05,1400,7.373211053314669e-05
0.00546798121078301,140.31871724128723,1714777010.0650759,1.597114592448169e-05,79,145.4599359035492,7.629679005603961e-05,1539,6.0325644131557916e-05
0.005272259104599155,152.9513521194458,1714777022.6956227,1.3603435284072138e-05,80,158.090482711792,6.507079181084681e-05,1693,5.146735652677467e-05
0.004967399917368979,168.0975923538208,1714777037.8407934,1.1376020517682967e-05,81,173.23565340042114,5.6353449642041686e-05,1863,4.497742912435872e-05
0.004795805952624902,184.35223388671875,1714777054.095444,1.002978774401128e-05,82,189.4903039932251,4.825803584141289e-05,2049,3.822824809740161e-05
0.00466386725485776,201.6621437072754,1714777071.4056473,9.199577055319066e-06,83,206.8005073070526,4.169508741114615e-05,2254,3.2495510355827084e-05
0.004365092659169445,221.55340480804443,1714777091.2971642,8.070480354589661e-06,84,226.69202423095703,3.551947978028516e-05,2479,2.7448999425695498e-05
0.004154838128769031,242.7537863254547,1714777112.4969184,7.5867858857455485e-06,85,247.8917784690857,3.074518306564689e-05,2727,2.315839717990134e-05
0.00411233651482014,266.590619802475,1714777136.333895,7.276071333014518e-06,86,271.7287549972534,2.692661616922494e-05,3000,1.9650544836210422e-05
0.003981897321182893,292.2910315990448,1714777162.034694,6.345810861883329e-06,87,297.4295539855957,2.3518759083562884e-05,3299,1.7172948221679555e-05
0.003882263830121683,321.3974189758301,1714777191.1429517,5.816254669903511e-06,88,326.53781175613403,2.0332881582612996e-05,3629,1.4516626912709484e-05
0.0036061430933816093,353.2617609500885,1714777223.0049875,5.159195831598096e-06,89,358.3998475074768,1.7498367156883968e-05,3992,1.2339171325285872e-05
0.0033729168488007663,387.9897768497467,1714777257.732891,4.381288253570047e-06,90,393.12775111198425,1.5220818951322941e-05,4391,1.0839530697752895e-05
0.0031360520732279557,426.883508682251,1714777296.6271017,3.90588087846162e-06,91,432.02196168899536,1.3387967934286449e-05,4831,9.48208705582483e-06
0.0029839683251115085,469.61570477485657,1714777339.359264,3.4776767802823345e-06,92,474.7541239261627,1.1814927961947922e-05,5314,8.337251181665587e-06
0.002853634667174207,516.6395485401154,1714777386.3827584,3.1028502374313496e-06,93,521.7776184082031,1.0387612691114752e-05,5845,7.284762453683403e-06
0.002653824179722433,565.6549825668335,1714777435.3982503,2.745126838876468e-06,94,570.793110370636,9.255572114008582e-06,6429,6.510445275132113e-06
0.0025515680973375353,621.4140934944153,1714777491.1574712,2.3159267741642457e-06,95,626.5523312091827,8.065443656643946e-06,7072,5.749516882479699e-06
0.002358842567208918,683.8797450065613,1714777553.6239755,1.9768724748879937e-06,96,689.0188355445862,6.9201087812910765e-06,7779,4.943236306403083e-06
0.002232695584998068,750.7546968460083,1714777620.4980743,1.7182032482933936e-06,97,755.8929343223572,6.029044202127914e-06,8557,4.310840953834521e-06
