l2_error,_timestamp,time,step,_runtime,_step,loss_boundary,loss_interior,loss
0.0004509559124338743,1714528673.6480136,96.40040969848633,190,100.62407660484314,57,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528674.2629485,97.01534652709961,208,101.23901152610779,58,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528674.9953008,97.74763584136963,229,101.97136378288269,59,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528675.7867835,98.53915691375732,252,102.76284646987915,60,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528676.6447618,99.39710736274719,277,103.62082481384277,61,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528677.6149678,100.36733293533325,305,104.59103083610535,62,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528678.643347,101.39571046829224,335,105.61941003799438,63,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528679.813438,102.56577801704407,369,106.78950095176697,64,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528681.0855772,103.83719873428345,406,108.06164026260376,65,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528682.4520667,105.20445108413696,446,109.42812967300415,66,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528683.9915538,106.7437527179718,491,110.96761679649353,67,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528685.6657398,108.41810154914856,540,112.64180278778076,68,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528687.5233855,110.27548217773438,594,114.49944853782654,69,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528689.5392985,112.29158639907837,653,116.51536154747009,70,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528691.7808442,114.53160524368286,718,118.75690722465515,71,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528694.5129666,117.26468396186829,790,121.4890296459198,72,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528697.4281464,120.18032550811768,869,124.40420937538147,73,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528700.6597073,123.41197109222412,956,127.63577032089233,74,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528704.1895964,126.9417507648468,1052,131.16565942764282,75,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528708.176688,130.92856407165527,1157,135.1527509689331,76,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528712.536291,135.28853249549866,1272,139.51235389709473,77,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528717.3377962,140.0899851322174,1400,144.31385922431946,78,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528722.6624072,145.4146499633789,1539,149.63847017288208,79,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528728.4298217,151.18179321289062,1693,155.40588474273682,80,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528734.778826,157.5310206413269,1863,161.75488901138306,81,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528741.8545702,164.60676741600037,2049,168.83063316345215,82,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528749.6448069,172.39702200889587,2254,176.62086987495422,83,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528758.0572367,180.80912733078003,2479,185.03329968452454,84,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528767.3497686,190.10194540023804,2727,194.32583165168762,85,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528777.753026,200.50413918495178,3000,204.72908902168274,86,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528788.9912899,211.7432518005371,3299,215.96735286712646,87,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528802.289427,225.04161524772644,3629,229.26549005508423,88,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528817.2953882,240.04654622077942,3992,244.2714512348175,89,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528833.730847,256.48194456100464,4391,260.70690989494324,90,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528849.4241607,272.1760296821594,4831,276.40022373199463,91,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528866.04853,288.8008406162262,5314,293.0245931148529,92,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528884.667997,307.41990542411804,5845,311.6440598964691,93,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528906.2985656,329.0507113933563,6429,333.2746286392212,94,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528929.6609657,352.4129111766815,7072,356.63702869415283,95,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528955.3605921,378.10997319221497,7779,382.3366551399231,96,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
0.0004509559124338743,1714528983.4817746,406.233775138855,8557,410.4578375816345,97,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
