_runtime,_timestamp,step,l2_error,_step,time,loss_boundary,loss_interior,loss
32.630671977996826,1714550802.43063,130,2.2895051816602075e-05,53,28.694469690322876,4.67090758389495e-10,4.392942576474791e-09,4.8600333348642864e-09
35.27083206176758,1714550805.07079,143,1.556165525578755e-05,54,31.33479619026184,1.9966687780378825e-10,2.1088884901050373e-09,2.3085553679088254e-09
38.12047719955444,1714550807.9204352,157,1.1868446298166274e-05,55,34.18440866470337,1.087149545661946e-10,1.2145108598561145e-09,1.3232258144223091e-09
41.230151891708374,1714550811.03011,172,5.306512370763643e-06,56,37.29354786872864,2.5749248612961042e-11,3.3951007600462184e-10,3.6525932461758285e-10
44.88499736785889,1714550814.6849554,190,2.0122844680401487e-06,57,40.94837141036987,3.2813200356387483e-12,9.523375636273385e-11,9.85150763983726e-11
48.537630558013916,1714550818.3375885,208,1.2259187476447252e-06,58,44.60121393203735,1.347378137496408e-12,6.042164153991151e-11,6.176901967740791e-11
52.827778577804565,1714550822.6277366,229,8.952929846561913e-07,59,48.89115309715271,7.618915501427429e-13,3.7774580686385654e-11,3.8536472236528395e-11
57.52766156196594,1714550827.3276196,252,8.731832397088721e-07,60,53.59162092208862,5.111210068332023e-13,2.2171673454699805e-11,2.2682794461533006e-11
62.6116418838501,1714550832.4115999,277,5.62187519155749e-07,61,58.67500948905945,2.5683555196970157e-13,1.1721537099948441e-11,1.1978372651918142e-11
68.26985144615173,1714550838.0698094,305,3.1098436629352387e-07,62,64.33325910568237,9.735984777386736e-14,6.666086912589711e-12,6.763446760363578e-12
74.30487275123596,1714550844.1048307,335,2.2666443394475573e-07,63,70.36842656135559,3.7884180308851846e-14,4.4217225924866944e-12,4.459606772795546e-12
81.14327073097229,1714550850.9432287,369,2.5459642860530047e-07,64,77.20713472366333,3.357906308619059e-14,3.069440710734301e-12,3.1030197738204914e-12
88.54814124107361,1714550858.3480992,406,1.739856372512596e-07,65,84.6118974685669,1.2610414627429597e-14,2.2599391531884526e-12,2.272549567815882e-12
96.62550139427185,1714550866.4254594,446,1.6264667247751198e-07,66,92.68918132781982,7.721634200573879e-15,1.59562634848902e-12,1.6033479826895938e-12
105.66848969459534,1714550875.4684477,491,1.701839518853009e-07,67,101.73174715042114,7.615015211469838e-15,1.061768386023634e-12,1.0693834012351038e-12
115.52961564064026,1714550885.3295736,540,1.6366747408580995e-07,68,111.59333777427673,6.118679332100136e-15,8.865639278696271e-13,8.926826072017272e-13
126.40024399757385,1714550896.200202,594,1.5142721879925036e-07,69,122.46392583847046,5.83744605357851e-15,8.051813749516954e-13,8.110188210052738e-13
138.25699543952942,1714550908.0569534,653,1.5199750775676813e-07,70,134.3200168609619,5.897046721792574e-15,7.34780932544374e-13,7.406779792661666e-13
