l2_error,_timestamp,loss_interior,loss,loss_boundary,time,_step,_runtime,step
1.5903021457958817,1715421535.2070878,121.36646426765884,122.91018400053315,1.543719732874305,91.91958498954773,90,96.5546247959137,4391
1.6057987224529262,1715421544.1195686,118.68317442706747,120.49949396307429,1.8163195360068092,100.83207964897156,91,105.46710562705994,4831
1.6381989660091711,1715421553.9221034,120.43797147654067,121.82890984255162,1.3909383660109627,110.63431429862976,92,115.26964044570923,5314
1.5909365128596906,1715421564.8208785,125.432038254409,126.91592080169545,1.483882547286458,121.5335762500763,93,126.16841554641724,5845
1.6083707890063481,1715421576.8588161,120.17517334503768,121.6934637059874,1.5182903609497198,133.5715742111206,94,138.20635318756104,6429
1.610792223466984,1715421589.9519703,120.3033135789758,121.72639387159593,1.4230802926201254,146.66333508491516,95,151.29950737953186,7072
1.6325060474612851,1715421604.4095778,121.95091998839929,123.34459244064,1.3936724522407022,161.12227630615234,96,165.75711488723755,7779
1.597247903971364,1715421620.3388915,123.62098930320747,125.18417821560531,1.5631889123978466,177.05112981796265,97,181.68642854690552,8557
1.5888637563504944,1715421637.8731134,127.84437694052703,129.39370736834672,1.5493304278196984,194.58444571495056,98,199.22065043449402,9413
1.5836073007574951,1715421657.1763327,124.26225087140729,125.8222655582305,1.560014686823213,213.8887073993683,99,218.5238697528839,10354
1.5834731821047314,1715421678.2368472,127.79451340680437,129.2964752592351,1.5019618524307339,234.94918704032898,100,239.58438420295715,11389
1.5830574310925591,1715421701.5257354,121.06627300034435,122.59325755422864,1.526984553884284,258.23755526542664,101,262.87327241897583,12528
